Ano-Calendário,Estado,Quantidade de Declarantes,Rendimentos Tributáveis,Imposto Devido Total,Doações e Heranças Recebidas,Bens e Direitos,Despesas com Instrução,Despesas Médicas,Pensão Alimentícia Judicial,Despesas com Arrendamento Rural,Doações Efetuadas,Região
2020,Acre,78776.0,5558002361.0,590456976.0,5023546027.0,1228455972.0,1324330936.0,2566954091.0,7165883065.0,2964.0,4585951567.0,Norte
2020,Alagoas,247097.0,1579957826.0,1623581856.0,3145160908.0,4650222476.0,3859449644.0,1072730025.0,1314101646.0,306588262.0,2515340071.0,Nordeste
2020,Amapá,81326.0,6241158054.0,6438686874.0,3513359161.0,4923931253.0,2289187364.0,4268952054.0,1222976748.0,1496.0,2229899358.0,Norte
2020,Amazonas,350943.0,2179057133.0,2190040986.0,330887918.0,5553245866.0,6654182138.0,1021234728.0,2440924471.0,499.0,2629748401.0,Norte
2020,Bahia,1224526.0,7161677657.0,6874054715.0,1168562607.0,253823517.0,2263292057.0,4878565167.0,5221615731.0,635866715.0,9868489329.0,Nordeste
2020,Ceará,703969.0,4390747797.0,4391858463.0,766374181.0,1516455858.0,1335907058.0,2746853545.0,4494486924.0,7917625.0,4321106678.0,Nordeste
2020,Distrito Federal,761579.0,762135048.0,1056422272.0,2226486055.0,3224058733.0,2344333566.0,5228426147.0,8149427501.0,309246186.0,8247649301.0,Centro-Oeste
2020,Espírito Santo,583955.0,3405241505.0,3251109412.0,8862455502.0,1579139549.0,9342791569.0,2196145264.0,2581575242.0,109949852.0,6179470021.0,Sudeste
2020,Goiás,1001607.0,5733354074.0,5359343739.0,221735948.0,3007015523.0,1456900324.0,3506832915.0,3726298317.0,173929476.0,66238138.0,Centro-Oeste
2020,Maranhão,422019.0,2452038476.0,2195159773.0,2666570562.0,5071853819.0,8079059268.0,1535190125.0,1821682722.0,46152.0,183053614.0,Nordeste
2020,Mato Grosso,571559.0,3468237357.0,3451381103.0,8313938712.0,171518924.0,7450177166.0,1927567359.0,2313046558.0,3264327517.0,4519999103.0,Centro-Oeste
2020,Mato Grosso do Sul,445322.0,2808638348.0,2955287148.0,1428090793.0,1412686513.0,6117452256.0,1516459973.0,2102651862.0,2401317921.0,7807421948.0,Centro-Oeste
2020,Minas Gerais,2997104.0,1766804197.0,1739154801.0,7548794985.0,9464710516.0,4244736684.0,9096011488.0,1361497775.0,3902189389.0,3438944784.0,Sudeste
2020,Paraná,2078276.0,1201706336.0,115973413.0,666272326.0,8110284193.0,2723227933.0,5730395491.0,6578043458.0,5200746661.0,3090977699.0,Sul
2020,Paraíba,331349.0,2078160993.0,2151302004.0,3118963368.0,6047602444.0,4972510476.0,1224858476.0,1955903659.0,18006586.0,1279479125.0,Nordeste
2020,Pará,637482.0,3914237313.0,3644735296.0,3699883669.0,8858825066.0,1286585992.0,2540120838.0,3723804625.0,944383826.0,22587101.0,Norte
2020,Pernambuco,828577.0,5283307428.0,543172131.0,1370172131.0,1742617869.0,1518008432.0,3930723474.0,4155778556.0,87833215.0,9743065927.0,Nordeste
2020,Piauí,252454.0,1557113023.0,1536039034.0,1501281375.0,3652161927.0,4422474148.0,9140869101.0,1294205388.0,183383599.0,9251165418.0,Nordeste
2020,Rio Grande do Norte,330294.0,2232460703.0,2401932884.0,2555333386.0,5756998672.0,5249450092.0,1278378777.0,2357531889.0,544.0,1352079569.0,Nordeste
2020,Rio Grande do Sul,2238515.0,1351888593.0,134161355.0,6592382363.0,8075307549.0,2857034563.0,6829385805.0,1104585126.0,186284788.0,3823540602.0,Sul
2020,Rio de Janeiro,3074607.0,224581645.0,2694955066.0,866363674.0,1191092656.0,6291180589.0,1561697725.0,2054065431.0,334929083.0,4232622156.0,Sudeste
2020,Rondônia,217171.0,1245247562.0,1135812618.0,2602460732.0,4495019417.0,2589929866.0,6684749415.0,1153902262.0,464532462.0,1235998871.0,Norte
2020,Roraima,66658.0,4782725231.0,5457621082.0,6081077926.0,6899429346.0,7832463516.0,1662227102.0,6642018652.0,0.0,2827371242.0,Norte
2020,Santa Catarina,1481865.0,8347785978.0,7359482311.0,351932944.0,5099539449.0,1730745774.0,3823334832.0,5784996632.0,1079716177.0,1600500457.0,Sul
2020,Sergipe,217673.0,1504874869.0,1639499937.0,1755690263.0,4635724804.0,4062555041.0,9246774228.0,1578383357.0,14649933.0,9099638146.0,Nordeste
2020,São Paulo,10212657.0,6208644316.0,6501530187.0,6338497528.0,4611472888.0,1789035138.0,3722484269.0,4167755696.0,1076644034.0,3580550971.0,Sudeste
2020,Tocantins,168809.0,1050640667.0,1057409228.0,2244372928.0,3577273245.0,2620046994.0,5309265482.0,7910155701.0,470297873.0,6071004462.0,Norte
